"","Posicion","Grado","indice_academico","Semestre","Promedio","Sede","Programa"
"41",41,2013,86.865,"2 - 2015",16.976,"Caracas","Química"
"42",42,2015,86.865,"2 - 2015",15.78,"Caracas","Química"
"43",43,2012,86.826,"2 - 2015",15.366,"Caracas","Química"
"44",44,2015,86.79,"2 - 2015",17.659,"Caracas","Química"
"45",45,2015,86.786,"2 - 2015",15.488,"Caracas","Química"
"46",46,2012,86.772,"2 - 2015",16.049,"Caracas","Química"
"47",47,2015,86.705,"2 - 2015",17.415,"Caracas","Química"
"48",48,2001,86.645,"2 - 2015",16.366,"Caracas","Química"
"49",49,2015,86.643,"2 - 2015",18.512,"Caracas","Química"
"50",50,2015,86.633,"2 - 2015",17.366,"Caracas","Química"
"51",51,2015,86.535,"2 - 2015",14.951,"Caracas","Química"
"52",52,2015,86.506,"2 - 2015",16.341,"Caracas","Química"
"53",53,2015,86.497,"2 - 2015",17.049,"Caracas","Química"
"54",54,2015,86.452,"2 - 2015",17.171,"Caracas","Química"
"55",55,2015,86.452,"2 - 2015",16.146,"Caracas","Química"
"56",56,2015,86.369,"2 - 2015",15.325,"Caracas","Química"
"57",57,2015,86.326,"2 - 2015",17.39,"Caracas","Química"
"58",58,2014,86.326,"2 - 2015",16.098,"Caracas","Química"
"59",59,2015,86.293,"2 - 2015",17.195,"Caracas","Química"
"60",60,2015,86.236,"2 - 2015",17.244,"Caracas","Química"
"61",61,2015,86.23,"2 - 2015",16.463,"Caracas","Química"
"62",62,2014,86.133,"2 - 2015",17.024,"Caracas","Química"
"63",63,2015,86.122,"2 - 2015",17.707,"Caracas","Química"
"64",64,2015,86.098,"2 - 2015",15.61,"Caracas","Química"
"65",65,2015,86.081,"2 - 2015",16.585,"Caracas","Química"
"66",66,2015,86.053,"2 - 2015",16.049,"Caracas","Química"
"67",67,2014,86.038,"2 - 2015",17.829,"Caracas","Química"
"68",68,2014,85.968,"2 - 2015",17.049,"Caracas","Química"
"69",69,2015,85.876,"2 - 2015",16.634,"Caracas","Química"
"70",70,2009,85.852,"2 - 2015",15.22,"Caracas","Química"
"71",71,2012,85.839,"2 - 2015",16.854,"Caracas","Química"
"72",72,2015,85.813,"2 - 2015",16.049,"Caracas","Química"
"73",73,2014,85.792,"2 - 2015",17.317,"Caracas","Química"
"74",74,2015,85.747,"2 - 2015",16.829,"Caracas","Química"
"75",75,2015,85.722,"2 - 2015",17.317,"Caracas","Química"
"76",76,2015,85.694,"2 - 2015",15.488,"Caracas","Química"
"77",77,2014,85.69,"2 - 2015",15.439,"Caracas","Química"
"78",78,2015,85.689,"2 - 2015",17.244,"Caracas","Química"
"79",79,2013,85.689,"2 - 2015",16.07,"Caracas","Química"
"80",80,2015,85.663,"2 - 2015",16.61,"Caracas","Química"
"81",81,2015,85.646,"2 - 2015",18.195,"Caracas","Química"
"82",82,2015,85.628,"2 - 2015",16.098,"Caracas","Química"
"83",83,2015,85.603,"2 - 2015",18.244,"Caracas","Química"
"84",84,2010,85.595,"2 - 2015",14.659,"Caracas","Química"
"85",85,2015,85.558,"2 - 2015",15.927,"Caracas","Química"
"86",86,2015,85.551,"2 - 2015",16.707,"Caracas","Química"
"87",87,2015,85.519,"2 - 2015",13.975,"Caracas","Química"
"88",88,2015,85.501,"2 - 2015",17.927,"Caracas","Química"
"89",89,2015,85.493,"2 - 2015",16.732,"Caracas","Química"
"90",90,2015,85.492,"2 - 2015",15.951,"Caracas","Química"
"91",91,2015,85.473,"2 - 2015",16.415,"Caracas","Química"
"92",92,2015,85.454,"2 - 2015",17.122,"Caracas","Química"
"93",9,2014,85.438,"2 - 2015",17.098,"Caracas","Química"
"94",9,2015,85.401,"2 - 2015",16.537,"Caracas","Química"
"95",9,2015,85.393,"2 - 2015",15.561,"Caracas","Química"
"96",9,2014,85.373,"2 - 2015",15.927,"Caracas","Química"
"97",9,2015,85.31,"2 - 2015",14.22,"Caracas","Química"
"98",9,2015,85.243,"2 - 2015",15.488,"Caracas","Química"
"99",9,2012,85.068,"2 - 2015",17.805,"Caracas","Química"
"100",10,2015,85.031,"2 - 2015",16.049,"Caracas","Química"
"101",10,2015,85.019,"2 - 2015",16.878,"Caracas","Química"
"102",10,2015,85,"2 - 2015",16.951,"Caracas","Química"
"103",10,2015,84.998,"2 - 2015",15.341,"Caracas","Química"
"104",10,2015,84.987,"2 - 2015",18.829,"Caracas","Química"
"105",10,2015,84.987,"2 - 2015",18.78,"Caracas","Química"
"106",10,2015,84.982,"2 - 2015",15.878,"Caracas","Química"
"107",10,2015,84.933,"2 - 2015",18.61,"Caracas","Química"
"108",10,2015,84.928,"2 - 2015",17.512,"Caracas","Química"
"109",10,2014,84.925,"2 - 2015",15.488,"Caracas","Química"
"110",11,2015,84.903,"2 - 2015",15.341,"Caracas","Química"
"111",11,2010,84.803,"2 - 2015",15.732,"Caracas","Química"
"112",11,2015,84.775,"2 - 2015",14.585,"Caracas","Química"
"113",11,2015,84.76,"2 - 2015",16,"Caracas","Química"
"114",11,2014,84.712,"2 - 2015",18.439,"Caracas","Química"
"115",11,2015,84.663,"2 - 2015",16.878,"Caracas","Química"
"116",11,2014,84.576,"2 - 2015",17.19,"Caracas","Química"
"117",11,2014,84.545,"2 - 2015",18.268,"Caracas","Química"
"118",11,2012,84.468,"2 - 2015",18,"Caracas","Química"
"119",11,2015,84.454,"2 - 2015",16.659,"Caracas","Química"
"120",12,2015,84.437,"2 - 2015",14.195,"Caracas","Química"
"121",12,2014,84.3,"2 - 2015",15.756,"Caracas","Química"
"122",12,2015,84.28,"2 - 2015",17.927,"Caracas","Química"
"123",12,2014,84.27,"2 - 2015",16.535,"Caracas","Química"
"124",12,2015,84.25,"2 - 2015",19.976,"Caracas","Química"
"125",12,2013,84.22,"2 - 2015",16.024,"Caracas","Química"
"126",12,2015,84.209,"2 - 2015",16.268,"Caracas","Química"
"127",12,2014,84.189,"2 - 2015",17.049,"Caracas","Química"
"128",12,2015,84.183,"2 - 2015",13.707,"Caracas","Química"
"129",12,2006,84.145,"2 - 2015",15.38,"Caracas","Química"
"130",13,2015,84.139,"2 - 2015",16.146,"Caracas","Química"
"131",13,2010,84.1,"2 - 2015",16.732,"Caracas","Química"
"132",13,2015,84.059,"2 - 2015",17.463,"Caracas","Química"
"133",13,2015,83.99,"2 - 2015",17.585,"Caracas","Química"
"134",13,2014,83.979,"2 - 2015",14.927,"Caracas","Química"
"135",13,2014,83.949,"2 - 2015",14.488,"Caracas","Química"
"136",13,2015,83.918,"2 - 2015",16.733,"Caracas","Química"
"137",13,2012,83.906,"2 - 2015",16.902,"Caracas","Química"
"138",13,2015,83.901,"2 - 2015",15.927,"Caracas","Química"
"139",13,2014,83.887,"2 - 2015",15.488,"Caracas","Química"
"140",14,2015,83.884,"2 - 2015",17.585,"Caracas","Química"
"141",14,2009,83.876,"2 - 2015",16.024,"Caracas","Química"
"142",14,2015,83.846,"2 - 2015",16.707,"Caracas","Química"
"143",14,1991,83.81,"2 - 2015",14.935,"Caracas","Química"
"144",14,2005,83.79,"2 - 2015",18.341,"Caracas","Química"
"145",14,2015,83.763,"2 - 2015",16.22,"Caracas","Química"
"146",14,2015,83.729,"2 - 2015",18.39,"Caracas","Química"
"147",14,2015,83.714,"2 - 2015",14.854,"Caracas","Química"
"148",14,2015,83.645,"2 - 2015",15.122,"Caracas","Química"
"149",14,2015,83.636,"2 - 2015",13.317,"Caracas","Química"
"150",15,2014,83.61,"2 - 2015",16.683,"Caracas","Química"
"151",15,2014,83.589,"2 - 2015",15.366,"Caracas","Química"
"152",15,2015,83.578,"2 - 2015",17.244,"Caracas","Química"
"153",15,2015,83.523,"2 - 2015",18.122,"Caracas","Química"
"154",15,2015,83.475,"2 - 2015",14.854,"Caracas","Química"
"155",15,2015,83.464,"2 - 2015",13.756,"Caracas","Química"
"156",15,2015,83.461,"2 - 2015",16.537,"Caracas","Química"
"157",15,2015,83.444,"2 - 2015",14.366,"Caracas","Química"
"158",15,2015,83.413,"2 - 2015",15.805,"Caracas","Química"
"159",15,2015,83.406,"2 - 2015",17.073,"Caracas","Química"
"160",16,2014,83.399,"2 - 2015",16.707,"Caracas","Química"
"161",1,2015,92.748,"2 - 2015",18.732,"Caracas","Física"
"162",2,2014,92.456,"2 - 2015",17.415,"Caracas","Física"
"163",3,2015,91.292,"2 - 2015",17.093,"Caracas","Física"
"164",4,2010,90.82,"2 - 2015",16.925,"Caracas","Física"
"165",5,2015,90.467,"2 - 2015",17.878,"Caracas","Física"
"166",6,2008,89.776,"2 - 2015",16.707,"Caracas","Física"
"167",7,2015,89.687,"2 - 2015",17.537,"Caracas","Física"
"168",8,2015,89.415,"2 - 2015",18.439,"Caracas","Física"
"169",9,2015,89.305,"2 - 2015",17.122,"Caracas","Física"
"170",10,2015,89.286,"2 - 2015",18.146,"Caracas","Física"
"171",11,2015,89.06,"2 - 2015",17.78,"Caracas","Física"
"172",12,2015,88.646,"2 - 2015",17.293,"Caracas","Física"
"173",13,2015,88.548,"2 - 2015",18.561,"Caracas","Física"
"174",14,2015,88.25,"2 - 2015",18,"Caracas","Física"
"175",15,2009,88.155,"2 - 2015",16.171,"Caracas","Física"
"176",16,2015,88.015,"2 - 2015",17.707,"Caracas","Física"
"177",17,2015,87.88,"2 - 2015",16.683,"Caracas","Física"
"178",18,2015,87.665,"2 - 2015",15.659,"Caracas","Física"
"179",19,2011,87.659,"2 - 2015",18.61,"Caracas","Física"
"180",20,2015,87.541,"2 - 2015",16.732,"Caracas","Física"
"181",21,2015,87.462,"2 - 2015",17.952,"Caracas","Física"
"182",22,2015,87.38,"2 - 2015",15.293,"Caracas","Física"
"183",23,2015,87.306,"2 - 2015",18.146,"Caracas","Física"
"184",24,2015,87.209,"2 - 2015",17.976,"Caracas","Física"
"185",25,2015,87.172,"2 - 2015",17.951,"Caracas","Física"
"186",26,2012,87.158,"2 - 2015",18.024,"Caracas","Física"
"187",27,2015,86.903,"2 - 2015",16.78,"Caracas","Física"
"188",28,2015,86.751,"2 - 2015",16.833,"Caracas","Física"
"189",29,2013,86.673,"2 - 2015",15.707,"Caracas","Física"
"190",30,2015,86.654,"2 - 2015",17.634,"Caracas","Física"
"191",31,2015,86.622,"2 - 2015",16.537,"Caracas","Física"
"192",32,2013,86.568,"2 - 2015",14,"Caracas","Física"
"193",33,2013,86.55,"2 - 2015",16.707,"Caracas","Física"
"194",34,2015,86.488,"2 - 2015",16.829,"Caracas","Física"
"195",35,2015,86.484,"2 - 2015",16.268,"Caracas","Física"
"196",36,2015,86.429,"2 - 2015",16.707,"Caracas","Física"
"197",37,2015,86.42,"2 - 2015",17.488,"Caracas","Física"
"198",38,2015,86.342,"2 - 2015",18.195,"Caracas","Física"
"199",39,2015,86.336,"2 - 2015",17.512,"Caracas","Física"
"200",40,2015,86.326,"2 - 2015",17.22,"Caracas","Física"
"201",41,2015,86.299,"2 - 2015",16.125,"Caracas","Física"
"202",42,2015,86.273,"2 - 2015",15.902,"Caracas","Física"
"203",43,2015,86.253,"2 - 2015",16.073,"Caracas","Física"
"204",44,2013,86.163,"2 - 2015",15.276,"Caracas","Física"
"205",45,2012,85.981,"2 - 2015",17.071,"Caracas","Física"
"206",46,2015,85.946,"2 - 2015",16.756,"Caracas","Física"
"207",47,2011,85.935,"2 - 2015",17.707,"Caracas","Física"
"208",48,2015,85.933,"2 - 2015",15.6,"Caracas","Física"
"209",49,2015,85.925,"2 - 2015",16.425,"Caracas","Física"
"210",50,2015,85.906,"2 - 2015",16.561,"Caracas","Física"
"211",51,2015,85.902,"2 - 2015",17.61,"Caracas","Física"
"212",52,2011,85.896,"2 - 2015",14.927,"Caracas","Física"
"213",53,2015,85.884,"2 - 2015",19.268,"Caracas","Física"
"214",54,2015,85.88,"2 - 2015",16.878,"Caracas","Física"
"215",55,2010,85.876,"2 - 2015",17.854,"Caracas","Física"
"216",56,2015,85.839,"2 - 2015",19.146,"Caracas","Física"
"217",57,2015,85.837,"2 - 2015",14.927,"Caracas","Física"
"218",58,2007,85.808,"2 - 2015",17.4,"Caracas","Física"
"219",59,2015,85.8,"2 - 2015",14.585,"Caracas","Física"
"220",60,2014,85.729,"2 - 2015",15.293,"Caracas","Física"
"221",61,2015,85.674,"2 - 2015",16.707,"Caracas","Física"
"222",62,2015,85.608,"2 - 2015",16.122,"Caracas","Física"
"223",63,2011,85.465,"2 - 2015",16.171,"Caracas","Física"
"224",64,2015,85.391,"2 - 2015",15.39,"Caracas","Física"
"225",65,2015,85.252,"2 - 2015",16.39,"Caracas","Física"
"226",66,2014,85.202,"2 - 2015",15.707,"Caracas","Física"
"227",67,2015,85.141,"2 - 2015",15.756,"Caracas","Física"
"228",68,2014,85.139,"2 - 2015",16.122,"Caracas","Física"
"229",69,2015,85.067,"2 - 2015",17.171,"Caracas","Física"
"230",70,2015,84.93,"2 - 2015",16.683,"Caracas","Física"
"231",71,2010,84.923,"2 - 2015",17.268,"Caracas","Física"
"232",72,2011,84.905,"2 - 2015",15.238,"Caracas","Física"
"233",73,2015,84.902,"2 - 2015",18.61,"Caracas","Física"
"234",74,2010,84.899,"2 - 2015",16.439,"Caracas","Física"
"235",75,2015,84.879,"2 - 2015",16.488,"Caracas","Física"
"236",76,2014,84.857,"2 - 2015",17.073,"Caracas","Física"
"237",77,2015,84.764,"2 - 2015",18.341,"Caracas","Física"
"238",78,2015,84.763,"2 - 2015",16.073,"Caracas","Física"
"239",79,2015,84.752,"2 - 2015",16.171,"Caracas","Física"
"240",80,2015,84.74,"2 - 2015",15.317,"Caracas","Física"
"241",81,2012,84.728,"2 - 2015",18.341,"Caracas","Física"
"242",82,2012,84.695,"2 - 2015",15.756,"Caracas","Física"
"243",83,2014,84.671,"2 - 2015",15.341,"Caracas","Física"
"244",84,2015,84.657,"2 - 2015",18.146,"Caracas","Física"
"245",85,2015,84.633,"2 - 2015",15.024,"Caracas","Física"
"246",86,2015,84.543,"2 - 2015",13.732,"Caracas","Física"
"247",87,2015,84.43,"2 - 2015",15.293,"Caracas","Física"
"248",88,2015,84.422,"2 - 2015",17.146,"Caracas","Física"
"249",89,2011,84.416,"2 - 2015",15.049,"Caracas","Física"
"250",90,2015,84.405,"2 - 2015",16.024,"Caracas","Física"
"251",91,2015,84.404,"2 - 2015",15.878,"Caracas","Física"
"252",92,2014,84.401,"2 - 2015",17.78,"Caracas","Física"
"253",9,2015,84.385,"2 - 2015",18.024,"Caracas","Física"
"254",9,2015,84.336,"2 - 2015",16.341,"Caracas","Física"
"255",9,2015,84.31,"2 - 2015",16.902,"Caracas","Física"
"256",9,2015,84.228,"2 - 2015",15.22,"Caracas","Física"
"257",9,2015,84.206,"2 - 2015",15.146,"Caracas","Física"
"258",9,2014,84.168,"2 - 2015",14.683,"Caracas","Física"
"259",9,2014,84.138,"2 - 2015",15.049,"Caracas","Física"
"260",10,2015,84.111,"2 - 2015",16.366,"Caracas","Física"
"261",10,2015,84.094,"2 - 2015",14.732,"Caracas","Física"
"262",10,2014,84.01,"2 - 2015",15.659,"Caracas","Física"
"263",10,2015,83.998,"2 - 2015",18.902,"Caracas","Física"
"264",10,2006,83.926,"2 - 2015",14.326,"Caracas","Física"
"265",10,2015,83.851,"2 - 2015",15.122,"Caracas","Física"
"266",10,2015,83.825,"2 - 2015",15.195,"Caracas","Física"
"267",10,2015,83.813,"2 - 2015",16.024,"Caracas","Física"
"268",10,2015,83.673,"2 - 2015",15.073,"Caracas","Física"
"269",10,2015,83.619,"2 - 2015",17.146,"Caracas","Física"
"270",11,2009,83.493,"2 - 2015",14.78,"Caracas","Física"
"271",11,2014,83.473,"2 - 2015",16.122,"Caracas","Física"
"272",11,2015,83.458,"2 - 2015",14.925,"Caracas","Física"
"273",11,2015,83.423,"2 - 2015",17.976,"Caracas","Física"
"274",11,2015,83.402,"2 - 2015",16.537,"Caracas","Física"
"275",11,2015,83.378,"2 - 2015",17.838,"Caracas","Física"
"276",11,2014,83.283,"2 - 2015",16.415,"Caracas","Física"
"277",11,2014,83.237,"2 - 2015",14.707,"Caracas","Física"
"278",11,2015,83.222,"2 - 2015",18.78,"Caracas","Física"
"279",11,2015,83.174,"2 - 2015",19.366,"Caracas","Física"
"280",12,2014,83.145,"2 - 2015",14.829,"Caracas","Física"
"281",12,2015,83.126,"2 - 2015",17.682,"Caracas","Física"
"282",12,2014,83.073,"2 - 2015",15.561,"Caracas","Física"
"283",12,2015,83.058,"2 - 2015",15,"Caracas","Física"
"284",12,2014,83.031,"2 - 2015",16.463,"Caracas","Física"
"285",12,2015,83.014,"2 - 2015",15.707,"Caracas","Física"
"286",12,2014,83,"2 - 2015",16.146,"Caracas","Física"
"287",12,2013,82.988,"2 - 2015",15.732,"Caracas","Física"
"288",12,2015,82.979,"2 - 2015",15.659,"Caracas","Física"
"289",12,2015,82.972,"2 - 2015",18.244,"Caracas","Física"
"290",13,2015,82.954,"2 - 2015",16.146,"Caracas","Física"
"291",13,2015,82.944,"2 - 2015",17.293,"Caracas","Física"
"292",13,2014,82.943,"2 - 2015",15.805,"Caracas","Física"
"293",13,2015,82.927,"2 - 2015",18.585,"Caracas","Física"
"294",13,2014,82.899,"2 - 2015",15.214,"Caracas","Física"
"295",13,2012,82.896,"2 - 2015",15.4,"Caracas","Física"
"296",13,2015,82.878,"2 - 2015",14.732,"Caracas","Física"
"297",13,2008,82.79,"2 - 2015",14.439,"Caracas","Física"
"298",13,2015,82.772,"2 - 2015",16.805,"Caracas","Física"
"299",13,2015,82.742,"2 - 2015",15.171,"Caracas","Física"
"300",14,2014,82.735,"2 - 2015",15.048,"Caracas","Física"
"301",14,2015,82.725,"2 - 2015",18.366,"Caracas","Física"
"302",14,2013,82.66,"2 - 2015",15.317,"Caracas","Física"
"303",14,2015,82.654,"2 - 2015",18.293,"Caracas","Física"
"304",14,2015,82.644,"2 - 2015",14.805,"Caracas","Física"
"305",14,2015,82.638,"2 - 2015",14.463,"Caracas","Física"
"306",14,2014,82.593,"2 - 2015",14.707,"Caracas","Física"
"307",14,2015,82.585,"2 - 2015",15.789,"Caracas","Física"
"308",14,2012,82.579,"2 - 2015",14.805,"Caracas","Física"
"309",14,2015,82.505,"2 - 2015",14.897,"Caracas","Física"
"310",15,2015,82.464,"2 - 2015",15.537,"Caracas","Física"
"311",15,2015,82.461,"2 - 2015",15.976,"Caracas","Física"
"312",15,2003,82.459,"2 - 2015",13.862,"Caracas","Física"
"313",15,2011,82.429,"2 - 2015",15.39,"Caracas","Física"
"314",15,2012,82.355,"2 - 2015",14.683,"Caracas","Física"
"315",15,2015,82.348,"2 - 2015",14.61,"Caracas","Física"
"316",15,2011,82.326,"2 - 2015",14.854,"Caracas","Física"
"317",15,2013,82.325,"2 - 2015",14.929,"Caracas","Física"
"318",15,2015,82.298,"2 - 2015",15.049,"Caracas","Física"
"319",15,2015,82.297,"2 - 2015",13.951,"Caracas","Física"
"320",16,2009,82.269,"2 - 2015",15.415,"Caracas","Física"
"321",1,2010,91.64,"2 - 2015",17.488,"Caracas","Matemática"
"322",2,2015,90.758,"2 - 2015",17.317,"Caracas","Matemática"
"323",3,2002,90.233,"2 - 2015",16.073,"Caracas","Matemática"
"324",4,2015,90.015,"2 - 2015",16.95,"Caracas","Matemática"
"325",5,2014,89.473,"2 - 2015",15.61,"Caracas","Matemática"
"326",6,2013,89.116,"2 - 2015",16.976,"Caracas","Matemática"
"327",7,2015,88.928,"2 - 2015",18.707,"Caracas","Matemática"
"328",8,2015,88.735,"2 - 2015",17.439,"Caracas","Matemática"
"329",9,2015,88.657,"2 - 2015",18.537,"Caracas","Matemática"
"330",10,2015,88.599,"2 - 2015",18.146,"Caracas","Matemática"
"331",11,2015,88.504,"2 - 2015",14.634,"Caracas","Matemática"
"332",12,2013,88.425,"2 - 2015",17.317,"Caracas","Matemática"
"333",13,2014,88.374,"2 - 2015",17.902,"Caracas","Matemática"
"334",14,2015,88.161,"2 - 2015",17.829,"Caracas","Matemática"
"335",15,2015,88.144,"2 - 2015",17.195,"Caracas","Matemática"
"336",16,2009,88.113,"2 - 2015",15.585,"Caracas","Matemática"
"337",17,2011,87.952,"2 - 2015",16.805,"Caracas","Matemática"
"338",18,2015,87.944,"2 - 2015",17.634,"Caracas","Matemática"
"339",19,2013,87.862,"2 - 2015",18.439,"Caracas","Matemática"
"340",20,2014,87.814,"2 - 2015",16.233,"Caracas","Matemática"
"341",21,2014,87.785,"2 - 2015",16.805,"Caracas","Matemática"
"342",22,2015,87.679,"2 - 2015",17.683,"Caracas","Matemática"
"343",23,2012,87.678,"2 - 2015",15.585,"Caracas","Matemática"
"344",24,2015,87.667,"2 - 2015",16.61,"Caracas","Matemática"
"345",25,2015,87.264,"2 - 2015",16.049,"Caracas","Matemática"
"346",26,2015,87.242,"2 - 2015",16.122,"Caracas","Matemática"
"347",27,2015,87.24,"2 - 2015",15.415,"Caracas","Matemática"
"348",28,2015,87.233,"2 - 2015",18,"Caracas","Matemática"
"349",29,2015,87.155,"2 - 2015",15.561,"Caracas","Matemática"
"350",30,2015,87.153,"2 - 2015",17.951,"Caracas","Matemática"
"351",31,2014,87.134,"2 - 2015",16.463,"Caracas","Matemática"
"352",32,2015,87.108,"2 - 2015",17.195,"Caracas","Matemática"
"353",33,2008,86.869,"2 - 2015",15.415,"Caracas","Matemática"
"354",34,2012,86.843,"2 - 2015",16.122,"Caracas","Matemática"
"355",35,2015,86.829,"2 - 2015",16,"Caracas","Matemática"
"356",36,2015,86.723,"2 - 2015",15.634,"Caracas","Matemática"
"357",37,2015,86.715,"2 - 2015",15.209,"Caracas","Matemática"
"358",38,2015,86.638,"2 - 2015",15.78,"Caracas","Matemática"
"359",39,2002,86.607,"2 - 2015",17.074,"Caracas","Matemática"
"360",40,2015,86.581,"2 - 2015",16.488,"Caracas","Matemática"
"361",41,2014,86.579,"2 - 2015",18.537,"Caracas","Matemática"
"362",42,2015,86.55,"2 - 2015",16.561,"Caracas","Matemática"
"363",43,2015,86.524,"2 - 2015",16.171,"Caracas","Matemática"
"364",44,2015,86.519,"2 - 2015",17.366,"Caracas","Matemática"
"365",45,2012,86.513,"2 - 2015",15.488,"Caracas","Matemática"
"366",46,2015,86.471,"2 - 2015",17.366,"Caracas","Matemática"
"367",47,2014,86.395,"2 - 2015",15.049,"Caracas","Matemática"
"368",48,2015,86.391,"2 - 2015",14.683,"Caracas","Matemática"
"369",49,2015,86.316,"2 - 2015",17.22,"Caracas","Matemática"
"370",50,2015,86.268,"2 - 2015",17.707,"Caracas","Matemática"
"371",51,2015,86.23,"2 - 2015",16.366,"Caracas","Matemática"
"372",52,2015,86.222,"2 - 2015",17.927,"Caracas","Matemática"
"373",53,2015,86.042,"2 - 2015",15.829,"Caracas","Matemática"
"374",54,2010,86.015,"2 - 2015",16.293,"Caracas","Matemática"
"375",55,2015,85.958,"2 - 2015",18.386,"Caracas","Matemática"
"376",56,2015,85.889,"2 - 2015",14.707,"Caracas","Matemática"
"377",57,2012,85.869,"2 - 2015",18.683,"Caracas","Matemática"
"378",58,2015,85.856,"2 - 2015",17.098,"Caracas","Matemática"
"379",59,2015,85.834,"2 - 2015",16.405,"Caracas","Matemática"
"380",60,2014,85.808,"2 - 2015",16.463,"Caracas","Matemática"
"381",61,2015,85.792,"2 - 2015",15.341,"Caracas","Matemática"
"382",62,2015,85.747,"2 - 2015",16.683,"Caracas","Matemática"
"383",63,2015,85.745,"2 - 2015",16.366,"Caracas","Matemática"
"384",64,2015,85.742,"2 - 2015",14.878,"Caracas","Matemática"
"385",65,2015,85.712,"2 - 2015",16.78,"Caracas","Matemática"
"386",66,2011,85.691,"2 - 2015",18.854,"Caracas","Matemática"
"387",67,2015,85.543,"2 - 2015",16.341,"Caracas","Matemática"
"388",68,2015,85.412,"2 - 2015",16.683,"Caracas","Matemática"
"389",69,2015,85.348,"2 - 2015",16.268,"Caracas","Matemática"
"390",70,2015,85.315,"2 - 2015",15.268,"Caracas","Matemática"
"391",71,2015,85.301,"2 - 2015",15.561,"Caracas","Matemática"
"392",72,2015,85.269,"2 - 2015",15.268,"Caracas","Matemática"
"393",73,2015,85.25,"2 - 2015",16.049,"Caracas","Matemática"
"394",74,2015,85.206,"2 - 2015",16.488,"Caracas","Matemática"
"395",75,2013,85.184,"2 - 2015",16.244,"Caracas","Matemática"
"396",76,2015,85.181,"2 - 2015",16.829,"Caracas","Matemática"
"397",77,2012,85.138,"2 - 2015",15.951,"Caracas","Matemática"
"398",78,2015,85.128,"2 - 2015",17.571,"Caracas","Matemática"
"399",79,2013,85.123,"2 - 2015",15.756,"Caracas","Matemática"
"400",80,2015,85.098,"2 - 2015",15.415,"Caracas","Matemática"
"401",81,2015,85.082,"2 - 2015",16.073,"Caracas","Matemática"
"402",82,2015,85.045,"2 - 2015",16.024,"Caracas","Matemática"
"403",83,2015,85.042,"2 - 2015",15.488,"Caracas","Matemática"
"404",84,2015,84.984,"2 - 2015",18.805,"Caracas","Matemática"
"405",85,2015,84.958,"2 - 2015",16.927,"Caracas","Matemática"
